Timestamp,Favorite movie (preferably Hollywood),Primary Genre,Secondary Genre,Another Movie (of the same genre as per your view) that you like
10/9/2023 7:57:56,Pursuit of Happyness,"Drama-Uplifting,Hopeful and Emotional",Motivation,The Shawshank Redemption
10/9/2023 8:24:54,Interstellar ,"Science fiction, Action ","Romance, Mystery ",Matrix
10/9/2023 8:47:16,Conjuring ,Horror,Comedy,Nun
10/9/2023 14:01:36,Dark Knight,Action/Thriller,Mystery/Horror,Interstellar 
10/9/2023 15:50:37,Oh Ramona!,Comedy,Romance,Don Jon
10/9/2023 21:06:56,The Shawshank Redemption ,Suspense,Action,Shutter Island 
10/10/2023 0:00:54,Shashank Redemption ,Slice of Life,Comedy ,Pursuit of Happiness 
10/10/2023 10:23:48,Iron-Man,Action,Sci-fi ,Avengers 
10/10/2023 10:29:46,Pursuit of happyness,Drama,,The karate kid
10/10/2023 10:34:35,Never back down,Action,Thriller,Blade2
10/10/2023 10:36:11,Little woman ,Hollywood period dramas ,Classic rom com,Dead poets society 
10/10/2023 10:37:44,Harry Potter,Mystery ,,N/A
10/10/2023 10:39:41,Titanic,Action thriller,,Harry Potter series
10/10/2023 10:48:46,Tennet,Sci fi,Action ,Inception
10/10/2023 11:29:17,Rise of the Guardians ,Animation ,Adventure ,How to train your dragon: the hidden world 
10/10/2023 13:03:33,Avenged: End Game,#Action ,#Thrillers ,Fast X
10/10/2023 13:04:35,Harry Potter ,Thriller ,Fictional ,Fast and furious 
10/10/2023 13:26:55,Iron man,Action,Sci fi,Avengers: infinity war
10/10/2023 13:30:54,The maze runner,Adventure ,Suspense ,Jumaji
10/10/2023 14:22:44,Spider man ,Action ,Horror ,The Nun
10/10/2023 23:10:59,God father,Action,Sci-fi,Ford vs feraari
10/11/2023 0:51:41,Harry Potter ,Suspense ,Thriller ,Red notice 
10/15/2023 10:23:26,Ford vs Ferrari ,Biography,Action,Stan Lee
10/15/2023 10:28:23,American Psycho,Crime,Drama,Joker
10/15/2023 10:31:09,The Wolf of Wall Street,Crime,Thriller,The Departed
10/15/2023 10:34:30,Harry Potter,Fantasy,Adventure,X-Men
10/15/2023 10:35:01,X-men,Action,Fantasy,Wolverine 
10/15/2023 10:36:56,Shutter Island,Mystery,Thriller,The Invisible Man
10/15/2023 10:37:55,Deadpool,Comedy,Action,Zombieland
10/15/2023 10:39:09,Incredibles ,Comedy,Family,Jumanji
10/15/2023 10:40:58,Central Intelligence,Comedy,Crime,Bad Boys
10/15/2023 10:41:28,Men in Black,Sci-Fi,Action,Avengers
10/15/2023 10:42:40,Johnny English,Comedy,N/A,Game Night
10/15/2023 10:44:06,Guardians of the Galaxy,Comedy ,Sci-fi,Ant-Man
10/15/2023 10:45:52,A Dogs Purpose,Drama,Family,A Dogs Journey 
10/15/2023 15:54:35,Interstellar ,Thriller ,Action,Ironman
10/20/2023 10:09:54,Whiplash ,Drama,,Godfather 
10/20/2023 21:40:37,Twilight,Romantic,Drama,A long Road
10/20/2023 21:41:56,Titanic ,Romantic ,Action,La La Land
10/20/2023 21:43:10,Shape of Water,Romance,Mystery,Gone Girl
